id_municipio,Municipio,muni_clean,provincia,poblacion,censo,1_avance,particip_1_avance,2_avance,particip_2_avance,total_votantes,particip_total,v_nulos,votos_validos,v_blanco,total_votos_candid,ganador,por_ganador,segundo,por_segundo,PSOE,PP,Cs,Podemos,VOX,UPL,XAV,Otros,psoe_por,pp_por,cs_por,podemos_por,vox_por,upl_por,xav_por,otros_por
05165,NAVARREDONDA DE GREDOS,Navarredonda de Gredos,Ávila,424,366,148,"40,4",219,"59,8",289,"79,0",4,285,7,278,PSOE,"28,8",PP,"27,7",82,79,67,23,13,0,3,11,"28,8","27,7","23,5","8,1","4,6","0,0","1,1","3,9"
05166,NAVARREDONDILLA,Navarredondilla,Ávila,175,157,71,"45,2",104,"66,2",132,"84,1",0,132,0,132,PP,"34,8",PP,"34,8",15,46,12,2,11,0,46,0,"11,4","34,8","9,1","1,5","8,3","0,0","34,8","0,0"
05167,NAVARREVISCA,Navarrevisca,Ávila,272,225,88,"39,1",141,"62,7",198,"88,0",5,193,0,193,PSOE,"57,5",XAV,"17,1",111,18,7,16,1,0,33,7,"57,5","9,3","3,6","8,3","0,5","0,0","17,1","3,6"
05168,LAS NAVAS DEL MARQUES,Las Navas del Marqués,Ávila,5231,3484,1450,"41,6",2100,"60,3",2672,"76,7",30,2642,30,2612,PP,"43,2",Cs,"21,6",556,1142,570,75,202,0,31,36,"21,0","43,2","21,6","2,8","7,6","0,0","1,2","1,4"
05169,NAVATALGORDO,Navatalgordo,Ávila,243,222,122,"55,0",162,"73,0",187,"84,2",1,186,3,183,PP,"58,6",PSOE,"16,1",30,109,12,1,3,0,28,0,"16,1","58,6","6,5","0,5","1,6","0,0","15,1","0,0"
05170,NAVATEJARES,Navatejares,Ávila,55,50,14,"28,0",21,"42,0",36,"72,0",0,36,1,35,PSOE,"41,7",PP,"25,0",15,9,7,2,0,0,0,2,"41,7","25,0","19,4","5,6","0,0","0,0","0,0","5,6"
05171,NEILA DE SAN MIGUEL,Neila de San Miguel,Ávila,65,67,40,"59,7",45,"67,2",56,"83,6",0,56,0,56,PP,"62,5",Cs,"17,9",4,35,10,2,3,0,2,0,"7,1","62,5","17,9","3,6","5,4","0,0","3,6","0,0"
05172,NIHARRA,Niharra,Ávila,188,116,49,"42,2",81,"69,8",98,"84,5",0,98,1,97,XAV,"39,8",PSOE,"25,5",25,13,11,2,1,0,39,6,"25,5","13,3","11,2","2,0","1,0","0,0","39,8","6,1"
05173,OJOS-ALBOS,Ojos-Albos,Ávila,82,59,26,"44,1",35,"59,3",54,"91,5",1,53,0,53,PP,"34,0",PP,"34,0",8,18,18,2,5,0,2,0,"15,1","34,0","34,0","3,8","9,4","0,0","3,8","0,0"
05174,ORBITA,Orbita,Ávila,73,65,21,"32,3",35,"53,8",52,"80,0",0,52,1,51,PP,"53,8",PSOE,"17,3",9,28,7,0,2,0,4,1,"17,3","53,8","13,5","0,0","3,8","0,0","7,7","1,9"
