;;2018;2017;2016;2015
44001;Ababuj;.;.;.;.
4400101;Ababuj;.;.;.;.
4400101001;Ababuj;.;.;.;.
40001;Abades;30.720;30.918;28.704;28.316
4000101;Abades;30.720;30.918;28.704;28.316
4000101001;Abades;30.720;30.918;28.704;28.316
10001;Abadía;21.358;20.205;18.619;21.425
1000101;Abadía;21.358;20.205;18.619;21.425
1000101001;Abadía;21.358;20.205;18.619;21.425
27001;Abadín;25.811;24.647;24.025;23.249
2700101;Abadín;25.811;24.647;24.025;23.249
2700101001;Abadín;26.789;25.947;25.523;24.684
2700101002;Abadín;24.876;23.748;22.849;21.957
2700101003;Abadín;25.656;24.239;23.645;22.987
48001;Abadiño;44.776;43.961;43.813;42.442
4800101;Abadiño;44.776;43.961;43.813;42.442
4800101001;Abadiño;51.452;50.836;52.151;48.708
4800101002;Abadiño;38.830;38.771;38.889;37.879
4800101003;Abadiño;34.930;33.778;33.432;32.307
4800101004;Abadiño;45.647;43.935;43.256;42.841
4800101005;Abadiño;49.332;48.941;48.176;47.234
31001;Abáigar; ; ; ; 
3100101;Abáigar; ; ; ; 
3100101001;Abáigar; ; ; ; 
9001;Abajas;.;.;.;.
900101;Abajas;.;.;.;.
900101001;Abajas;.;.;.;.
26001;Ábalos;29.439;25.128;30.483;28.945
2600101;Ábalos;29.439;25.128;30.483;28.945
2600101001;Ábalos;29.439;25.128;30.483;28.945
20001;Abaltzisketa;56.621;79.957;50.069; 
2000101;Abaltzisketa;56.621;79.957;50.069; 
2000101001;Abaltzisketa;56.621;79.957;50.069; 
19001;Abánades;.;.;.;.
1900101;Abánades;.;.;.;.
1900101001;Abánades;.;.;.;.
30001;Abanilla;26.790;25.826;24.210;23.631
3000101;Abanilla;29.369;28.828;27.071;26.122
3000101001;Abanilla;25.115;24.299;23.575;22.651
3000101002;Abanilla;32.584;31.310;29.165;27.961
3000101003;Abanilla;30.788;32.037;29.374;28.867
3000102;Abanilla;24.117;22.709;21.289;21.028
3000102001;Abanilla;22.623;21.866;20.407;19.537
3000102002;Abanilla;22.328;20.516;19.821;20.341
3000102003;Abanilla;29.171;27.181;24.858;24.620
50001;Abanto;.;.;.;23.714
5000101;Abanto;.;.;.;23.714
5000101001;Abanto;.;.;.;23.714
48002;Abanto;39.395;37.755;37.210;36.471
4800201;Abanto;37.282;36.061;35.213;34.637
4800201001;Abanto;37.980;37.162;36.206;36.021
4800201002;Abanto;36.898;34.865;33.892;32.056
4800201004;Abanto;31.284;31.029;30.769;30.441
4800201005;Abanto;40.148;38.385;37.490;37.274
4800202;Abanto;41.865;39.735;39.583;38.656
4800202001;Abanto;38.349;37.678;37.885;36.491
4800202002;Abanto;40.994;38.244;38.203;37.000
4800202003;Abanto;45.116;42.355;41.868;41.502
30002;Abarán;29.000;27.957;26.671;26.509
3000201;Abarán;29.000;27.957;26.671;26.509
3000201001;Abarán;28.689;26.607;25.153;25.044
3000201002;Abarán;29.753;27.822;26.716;27.101
3000201003;Abarán;35.975;33.290;33.142;32.999
3000201004;Abarán;24.767;23.945;23.669;22.717
3000201005;Abarán;26.644;26.636;25.988;26.080
3000201006;Abarán;24.216;23.437;22.052;21.710
3000201007;Abarán;26.263;32.729;23.411;23.396
3000201008;Abarán;26.549;26.071;23.746;23.810
3000201009;Abarán;31.241;30.397;29.563;29.944
3000201010;Abarán;31.734;28.953;28.312;28.745
3000201011;Abarán;31.854;29.613;32.001;29.982
3000201012;Abarán;31.250;28.654;27.282;26.772
34001;Abarca;.;.;.;.
3400101;Abarca;.;.;.;.
3400101001;Abarca;.;.;.;.
31002;Abárzuza/Abartzuza; ; ; ; 
3100201;Abárzuza/Abartzuza; ; ; ; 
3100201001;Abárzuza/Abartzuza; ; ; ; 
31003;Abaurregaina/Abaurrea; ; ; ; 
3100301;Abaurregaina/Abaurrea; ; ; ; 
3100301001;Abaurregaina/Abaurrea; ; ; ; 
31004;Abaurrepea/Abaurrea; ; ; ; 
3100401;Abaurrepea/Abaurrea; ; ; ; 
3100401001;Abaurrepea/Abaurrea; ; ; ; 
15001;Abegondo;35.247;33.377;32.833;32.055
1500101;Abegondo;36.099;33.583;32.975;32.586
1500101001;Abegondo;35.584;34.337;34.804;33.902
1500101002;Abegondo;36.769;32.619;30.696;31.015
1500102;Abegondo;31.756;29.290;28.307;28.582
1500102001;Abegondo;32.262;29.593;28.975;30.239
1500102002;Abegondo;31.245;28.983;27.658;26.994
1500103;Abegondo;36.779;35.746;35.550;33.868
1500103001;Abegondo;34.879;34.271;33.095;31.781
1500103002;Abegondo;39.849;38.127;39.550;37.165
42001;Abejar;34.131;30.604;30.921;31.162
4200101;Abejar;34.131;30.604;30.921;31.162
4200101001;Abejar;34.131;30.604;30.921;31.162
44002;Abejuela;.;.;.;.
4400201;Abejuela;.;.;.;.
4400201001;Abejuela;.;.;.;.
25001;Abella;33.774;26.145;25.603;23.708
2500101;Abella;33.774;26.145;25.603;23.708
2500101001;Abella;33.774;26.145;25.603;23.708
2001;Abengibre;30.472;26.307;26.366;25.346
200101;Abengibre;30.472;26.307;26.366;25.346
200101001;Abengibre;30.472;26.307;26.366;25.346
13001;Abenójar;24.436;23.488;22.504;21.350
1300101;Abenójar;24.436;23.488;22.504;21.350
1300101001;Abenójar;24.514;23.319;22.314;21.571
1300101002;Abenójar;24.360;23.653;22.684;21.132
31005;Aberin; ; ; ; 
3100501;Aberin; ; ; ; 
3100501001;Aberin; ; ; ; 
10002;Abertura;19.368;18.825;17.945;17.854
1000201;Abertura;19.368;18.825;17.945;17.854
1000201001;Abertura;19.368;18.825;17.945;17.854
49002;Abezames;.;.;.;.
4900201;Abezames;.;.;.;.
4900201001;Abezames;.;.;.;.
16001;Abia;.;.;.;.
1600101;Abia;.;.;.;.
1600101001;Abia;.;.;.;.
34003;Abia;36.984;33.371;33.225;33.178
3400301;Abia;36.984;33.371;33.225;33.178
3400301001;Abia;36.984;33.371;33.225;33.178
22001;Abiego;37.750;36.538;33.496;30.752
2200101;Abiego;37.750;36.538;33.496;30.752
2200101001;Abiego;37.750;36.538;33.496;30.752
22002;Abizanda;36.125;33.484;32.883;34.722
2200201;Abizanda;36.125;33.484;32.883;34.722
2200201001;Abizanda;36.125;33.484;32.883;34.722
4001;Abla;23.702;22.723;22.140;21.986
400101;Abla;23.702;22.723;22.140;21.986
400101001;Abla;23.702;22.723;22.140;21.986
19002;Ablanque;.;.;.;.
1900201;Ablanque;.;.;.;.
1900201001;Ablanque;.;.;.;.
31006;Ablitas; ; ; ; 
3100601;Ablitas; ; ; ; 
3100601001;Ablitas; ; ; ; 
3100602;Ablitas; ; ; ; 
3100602001;Ablitas; ; ; ; 
8001;Abrera;46.157;44.190;42.775;40.854
800101;Abrera;46.157;44.190;42.775;40.854
800101001;Abrera;42.550;41.004;39.928;39.234
800101002;Abrera;40.798;39.069;38.045;35.993
800101003;Abrera;60.639;57.388;55.425;52.166
800101004;Abrera;50.541;47.288;46.430;43.922
800101005;Abrera;42.282;41.266;39.517;37.280
800101007;Abrera;45.970;43.152;40.952;39.743
800101008;Abrera;48.450;47.840;46.684;44.458
4002;Abrucena;21.291;19.848;19.721;18.919
400201;Abrucena;21.291;19.848;19.721;18.919
400201001;Abrucena;21.291;19.848;19.721;18.919
37001;Abusejo;27.480;26.116;25.011;25.168
3700101;Abusejo;27.480;26.116;25.011;25.168
3700101001;Abusejo;27.480;26.116;25.011;25.168
28001;Acebeda,;.;.;.;.
2800101;Acebeda,;.;.;.;.
2800101001;Acebeda,;.;.;.;.
24001;Acebedo;28.499;28.160;26.420;26.626
2400101;Acebedo;28.499;28.160;26.420;26.626
2400101001;Acebedo;28.499;28.160;26.420;26.626
10003;Acebo;16.998;16.462;16.071;15.628
1000301;Acebo;16.998;16.462;16.071;15.628
1000301001;Acebo;16.998;16.462;16.071;15.628
16002;Acebrón,;27.027;27.489;24.111;22.984
1600201;Acebrón,;27.027;27.489;24.111;22.984
1600201001;Acebrón,;27.027;27.489;24.111;22.984
6001;Acedera;20.591;20.963;21.695;21.574
600101;Acedera;20.591;20.963;21.695;21.574
600101001;Acedera;20.591;20.963;21.695;21.574
10004;Acehúche;19.763;18.480;18.129;17.672
1000401;Acehúche;19.763;18.480;18.129;17.672
1000401001;Acehúche;19.763;18.480;18.129;17.672
10005;Aceituna;18.605;17.195;16.177;15.887
1000501;Aceituna;18.605;17.195;16.177;15.887
1000501001;Aceituna;18.605;17.195;16.177;15.887
50002;Acered;21.837;21.062;22.372;22.988
5000201;Acered;21.837;21.062;22.372;22.988
5000201001;Acered;21.837;21.062;22.372;22.988
6002;Aceuchal;22.433;21.686;21.349;20.211
600201;Aceuchal;22.896;21.962;21.316;20.074
600201001;Aceuchal;25.132;24.377;24.205;22.801
600201002;Aceuchal;22.853;21.906;21.106;20.007
600201003;Aceuchal;20.862;19.769;18.762;17.588
600202;Aceuchal;21.549;21.153;21.413;20.477
600202001;Aceuchal;21.549;21.153;21.413;20.477
22003;Adahuesca;39.910;36.188;37.353;37.976
2200301;Adahuesca;39.910;36.188;37.353;37.976
2200301001;Adahuesca;39.910;36.188;37.353;37.976
47001;Adalia;.;.;.;.
4700101;Adalia;.;.;.;.
4700101001;Adalia;.;.;.;.
14001;Adamuz;23.856;23.770;22.818;21.119
1400101;Adamuz;23.856;23.770;22.818;21.119
1400101001;Adamuz;24.989;24.551;23.544;21.956
1400101002;Adamuz;26.574;26.421;25.692;23.689
1400101003;Adamuz;21.081;21.346;20.283;18.643
5001;Adanero;28.928;29.146;25.809;25.042
500101;Adanero;28.928;29.146;25.809;25.042
500101001;Adanero;28.928;29.146;25.809;25.042
38001;Adeje;29.781;28.089;26.945;25.780
3800101;Adeje;29.781;28.089;26.945;25.780
3800101001;Adeje;32.055;30.561;29.845;27.885
3800101002;Adeje;29.533;28.004;25.848;25.552
3800101003;Adeje;32.659;30.778;33.024;28.287
3800101004;Adeje;26.980;25.679;24.603;24.436
3800101005;Adeje;34.111;31.908;30.373;29.179
3800101006;Adeje;32.629;30.195;28.514;27.712
3800101007;Adeje;22.037;21.065;19.996;18.809
3800101008;Adeje;24.777;23.127;22.675;22.033
3800101009;Adeje;38.239;36.414;35.668;34.903
3800101010;Adeje;46.050;44.447;42.732;42.382
3800101011;Adeje;21.224;21.467;19.415;18.236
3800101012;Adeje;36.537;27.989;28.600;25.475
3800101013;Adeje;34.555;32.389;30.010;32.469
3800101014;Adeje;28.649;26.903;28.102;26.565
3800101015;Adeje;30.628;29.943;28.451;26.887
3800101016;Adeje;31.914;29.903;27.405;26.513
3800101017;Adeje;23.709;22.242;21.307;20.762
3800101018;Adeje;32.094;31.311;29.823;26.634
46001;Ademuz;26.087;23.728;23.570;23.636
4600101;Ademuz;26.087;23.728;23.570;23.636
4600101001;Ademuz;26.087;23.728;23.570;23.636
31007;Adiós; ; ; ; 
3100701;Adiós; ; ; ; 
3100701001;Adiós; ; ; ; 
19003;Adobes;.;.;.;.
1900301;Adobes;.;.;.;.
1900301001;Adobes;.;.;.;.
46002;Ador;29.033;27.606;26.277;25.668
4600201;Ador;29.033;27.606;26.277;25.668
4600201001;Ador;29.033;27.606;26.277;25.668
4003;Adra;25.115;24.290;23.227;22.244
400301;Adra;27.667;26.463;25.269;24.406
400301001;Adra;31.455;31.155;30.767;29.139
400301002;Adra;30.131;29.720;27.784;27.078
400301003;Adra;26.454;25.145;23.688;22.107
400301004;Adra;24.434;22.756;21.174;20.832
400301005;Adra;25.348;23.893;23.518;22.476
400301006;Adra;31.745;29.822;29.015;28.492
400301007;Adra;29.559;29.344;27.782;27.355
400302;Adra;22.040;20.927;20.231;19.649
400302001;Adra;23.914;22.739;22.013;21.293
400302002;Adra;21.773;21.390;20.687;19.997
400302003;Adra;20.088;18.024;17.343;17.057
400303;Adra;22.311;21.830;20.886;19.899
400303001;Adra;21.988;21.124;20.287;19.233
400303002;Adra;20.630;20.171;18.934;17.457
400303003;Adra;23.250;22.972;22.131;21.474
400304;Adra;22.392;22.484;20.660;19.190
400304001;Adra;22.392;22.484;20.660;19.190
400305;Adra;23.988;24.140;23.204;21.639
400305001;Adra;21.973;22.428;21.619;20.607
400305002;Adra;25.404;25.331;24.365;22.403
9003;Adrada;30.102;29.962;28.156;26.217
900301;Adrada;30.102;29.962;28.156;26.217
900301001;Adrada;30.102;29.962;28.156;26.217
40002;Adrada;.;.;.;.
4000201;Adrada;.;.;.;.
4000201001;Adrada;.;.;.;.
5002;Adrada,;23.692;22.487;21.553;20.974
500201;Adrada,;23.692;22.487;21.553;20.974
500201001;Adrada,;22.916;22.062;20.817;20.659
500201002;Adrada,;24.558;22.968;22.399;21.330
42003;Adradas;.;.;.;.
4200301;Adradas;.;.;.;.
4200301001;Adradas;.;.;.;.
40003;Adrados;23.082;22.981;22.879;21.461
4000301;Adrados;23.082;22.981;22.879;21.461
4000301001;Adrados;23.082;22.981;22.879;21.461
20002;Aduna;54.490;51.934;49.909; 
2000201;Aduna;54.490;51.934;49.909; 
2000201001;Aduna;54.490;51.934;49.909; 
35001;Agaete;32.330;30.475;29.335;28.918
3500101;Agaete;32.330;30.475;29.335;28.918
3500101001;Agaete;32.773;30.798;29.494;29.264
3500101002;Agaete;31.460;29.165;28.491;27.953
3500101003;Agaete;29.923;28.848;26.638;26.525
3500101004;Agaete;33.504;31.804;32.000;30.423
3500101005;Agaete;34.002;31.996;30.186;30.452
37002;Agallas;20.489;22.647;22.297;21.815
3700201;Agallas;20.489;22.647;22.297;21.815
3700201001;Agallas;20.489;22.647;22.297;21.815
25002;Àger;35.303;30.619;32.842;30.343
2500201;Àger;35.303;30.619;32.842;30.343
2500201001;Àger;35.303;30.619;32.842;30.343
36020;Agolada;21.113;19.693;18.778;18.201
3602001;Agolada;24.665;23.160;22.070;21.440
3602001001;Agolada;24.665;23.160;22.070;21.440
3602002;Agolada;16.203;15.198;14.356;13.862
3602002001;Agolada;16.203;15.198;14.356;13.862
3602003;Agolada;21.963;19.994;19.174;18.610
3602003001;Agolada;21.963;19.994;19.174;18.610
50003;Agón;30.469;31.829;32.172;31.968
5000301;Agón;30.469;31.829;32.172;31.968
5000301001;Agón;30.469;31.829;32.172;31.968
26002;Agoncillo;33.273;31.749;32.063;30.267
2600201;Agoncillo;33.273;31.749;32.063;30.267
2600201001;Agoncillo;33.273;31.749;32.063;30.267
3002;Agost;27.486;26.100;25.200;24.173
300201;Agost;27.486;26.100;25.200;24.173
300201001;Agost;24.310;22.920;21.924;21.610
300201002;Agost;29.282;28.010;27.235;25.825
300201003;Agost;29.565;27.960;26.926;25.331
25003;Agramunt;38.061;35.721;34.326;33.212
2500301;Agramunt;38.061;35.721;34.326;33.212
2500301001;Agramunt;33.542;31.920;29.772;29.865
2500301002;Agramunt;33.045;31.039;30.625;29.369
2500301003;Agramunt;39.598;36.953;35.565;34.197
2500301004;Agramunt;41.900;39.295;37.766;36.453
42004;Ágreda;36.296;34.332;32.691;31.589
4200401;Ágreda;36.296;34.332;32.691;31.589
4200401001;Ágreda;36.712;34.805;32.802;32.087
4200401002;Ágreda;35.797;33.750;32.558;30.997
3003;Agres;28.402;27.088;25.632;24.951
300301;Agres;28.402;27.088;25.632;24.951
300301001;Agres;28.402;27.088;25.632;24.951
18001;Agrón;20.093;19.663;19.340;20.686
1800101;Agrón;20.093;19.663;19.340;20.686
1800101001;Agrón;20.093;19.663;19.340;20.686
41001;Aguadulce;21.987;21.289;20.676;20.926
4100101;Aguadulce;23.709;23.783;23.277;22.838
4100101001;Aguadulce;23.709;23.783;23.277;22.838
4100102;Aguadulce;20.656;19.362;18.686;19.413
4100102001;Aguadulce;20.656;19.362;18.686;19.413
50004;Aguarón;30.565;29.071;28.902;27.098
5000401;Aguarón;30.565;29.071;28.902;27.098
5000401001;Aguarón;30.565;29.071;28.902;27.098
9006;Aguas;.;.;.;.
900601;Aguas;.;.;.;.
900601001;Aguas;.;.;.;.
47002;Aguasal;.;.;.;.
4700201;Aguasal;.;.;.;.
4700201001;Aguasal;.;.;.;.
44003;Aguatón;.;.;.;.
4400301;Aguatón;.;.;.;.
4400301001;Aguatón;.;.;.;.
44004;Aguaviva;33.011;28.135;26.672;25.778
4400401;Aguaviva;33.011;28.135;26.672;25.778
4400401001;Aguaviva;33.011;28.135;26.672;25.778
13002;Agudo;20.838;19.185;19.193;18.318
1300201;Agudo;20.838;19.185;19.193;18.318
1300201001;Agudo;20.784;19.126;19.820;18.934
1300201002;Agudo;20.926;19.279;18.201;17.357
22004;Agüero;29.853;27.966;28.099;25.493
2200401;Agüero;29.853;27.966;28.099;25.493
2200401001;Agüero;29.853;27.966;28.099;25.493
40004;Aguilafuente;28.342;26.570;25.145;24.762
4000401;Aguilafuente;28.342;26.570;25.145;24.762
4000401001;Aguilafuente;28.342;26.570;25.145;24.762
9007;Aguilar;.;.;.;.
900701;Aguilar;.;.;.;.
900701001;Aguilar;.;.;.;.
34004;Aguilar;36.787;35.567;34.052;33.314
3400401;Aguilar;38.916;33.329;31.762;30.960
3400401001;Aguilar;43.846;32.800;31.536;29.919
3400401002;Aguilar;34.427;33.718;31.925;31.728
3400402;Aguilar;36.529;36.504;35.900;35.308
3400402001;Aguilar;31.806;30.095;30.062;30.183
3400402002;Aguilar;38.250;37.977;36.906;35.329
3400402003;Aguilar;37.854;38.546;37.905;37.459
3400403;Aguilar;31.826;36.311;29.997;28.772
3400403001;Aguilar;31.826;36.311;29.997;28.772
47003;Aguilar;28.666;26.586;26.445;25.012
4700301;Aguilar;28.666;26.586;26.445;25.012
4700301001;Aguilar;28.666;26.586;26.445;25.012
31008;Aguilar; ; ; ; 
3100801;Aguilar; ; ; ; 
3100801001;Aguilar; ; ; ; 
14002;Aguilar;23.625;22.563;21.971;20.948
1400201;Aguilar;24.636;24.057;23.890;22.564
1400201001;Aguilar;24.317;23.743;23.358;21.915
1400201002;Aguilar;31.752;30.962;32.042;29.845
1400201003;Aguilar;20.234;19.589;18.774;18.097
1400202;Aguilar;22.866;21.639;21.088;19.914
1400202001;Aguilar;22.645;21.335;20.570;19.952
1400202002;Aguilar;23.487;22.047;21.452;20.147
1400202003;Aguilar;19.567;18.826;17.929;17.270
1400202004;Aguilar;26.322;24.806;24.876;22.654
1400203;Aguilar;23.582;22.358;21.508;20.752
1400203001;Aguilar;21.076;20.087;20.227;19.122
1400203002;Aguilar;26.509;25.000;23.709;22.938
1400203003;Aguilar;22.123;21.016;20.432;20.234
1400203004;Aguilar;23.024;21.859; ; 
8002;Aguilar;49.946;49.465;47.271;43.430
800201;Aguilar;49.946;49.465;47.271;43.430
800201001;Aguilar;49.946;49.465;47.271;43.430
44005;Aguilar;.;.;.;.
4400501;Aguilar;.;.;.;.
4400501001;Aguilar;.;.;.;.
26003;Aguilar;28.201;25.439;26.004;25.475
2600301;Aguilar;28.201;25.439;26.004;25.475
2600301001;Aguilar;28.201;25.439;26.004;25.475
30003;Águilas;28.833;27.971;26.593;25.503
3000301;Águilas;28.833;27.971;26.593;25.503
3000301001;Águilas;26.672;25.171;24.431;24.476
3000301002;Águilas;32.088;31.148;29.958;28.562
3000301003;Águilas;23.559;23.331;21.512;20.994
3000301004;Águilas;26.870;25.848;24.680;23.949
3000301005;Águilas;27.335;27.110;26.607;25.307
3000301006;Águilas;24.442;23.625;22.337;21.579
3000301007;Águilas;28.451;24.322;22.823;22.573
3000301008;Águilas;29.558;30.273;29.640;27.009
3000301009;Águilas;41.697;38.367;36.335;36.694
3000301010;Águilas;24.677;23.985;23.357;21.876
3000301011;Águilas;31.004;30.465;29.250;27.334
3000301012;Águilas;23.859;23.717;22.981;21.394
3000301013;Águilas;25.233;23.936;23.216;21.575
3000301014;Águilas;26.257;25.545;24.501;23.438
3000301015;Águilas;25.701;24.672;22.451;22.230
3000301016;Águilas;42.406;42.028;39.609;38.694
3000301017;Águilas;18.913;17.822;16.908;15.907
3000301018;Águilas;24.944;23.293;22.208;21.206
3000301019;Águilas;35.964;35.595;33.367;32.421
3000301020;Águilas;34.049;36.115;33.648;28.385
3000301021;Águilas;29.833;28.476;27.858;27.639
3000301022;Águilas;26.977;27.003;25.702;25.434
3000301023;Águilas;26.313;25.963;25.449;24.326
3000301024;Águilas;29.990;29.303;27.854;28.000
3000301025;Águilas;26.402;24.867;23.132;22.310
3000301026;Águilas;28.704;27.531;25.715;25.455
3000301027;Águilas;26.709;25.499;24.974;23.711
3000301028;Águilas;24.309;23.792;23.012;21.595
3000301029;Águilas;33.545;33.112;31.203;30.162
3000301030;Águilas;32.539;30.639;29.600;27.808
50005;Aguilón;40.836;36.807;35.923;34.716
5000501;Aguilón;40.836;36.807;35.923;34.716
5000501001;Aguilón;40.836;36.807;35.923;34.716
35002;Agüimes;33.291;31.776;30.342;29.382
3500201;Agüimes;33.291;31.776;30.342;29.382
3500201001;Agüimes;31.021;30.659;29.890;29.089
3500201002;Agüimes;31.886;31.124;31.441;31.461
3500201003;Agüimes;30.412;29.920;28.009;26.118
3500201004;Agüimes;33.616;30.800;29.022;28.982
3500201005;Agüimes;24.745;24.160;22.170;19.877
3500201006;Agüimes;32.663;30.626;29.425;28.140
3500201007;Agüimes;38.029;38.806;36.666;36.234
3500201008;Agüimes;31.381;31.056;30.049;29.613
3500201009;Agüimes;29.714;27.840;27.079;26.635
3500201010;Agüimes;38.346;34.500;33.099;31.656
3500201011;Agüimes;27.627;25.735;24.668;23.768
3500201012;Agüimes;31.416;34.214;31.996;31.133
3500201013;Agüimes;30.593;28.757;26.540;25.596
3500201014;Agüimes;39.039;37.959;36.733;37.106
3500201015;Agüimes;30.269;28.578;27.585;26.991
3500201016;Agüimes;29.961;28.357;29.718;28.298
3500201017;Agüimes;32.556;31.241;31.265;29.740
3500201018;Agüimes;36.732;34.911;32.911;33.367
3500201019;Agüimes;39.654;38.067;35.711;34.331
3500201020;Agüimes;37.844;37.507; ; 
3500201021;Agüimes;42.801; ; ; 
3500201022;Agüimes;34.013; ; ; 
3500201023;Agüimes;41.812; ; ; 
17001;Agullana;44.647;41.862;40.931;39.586
1700101;Agullana;44.647;41.862;40.931;39.586
1700101001;Agullana;44.647;41.862;40.931;39.586
46004;Agullent;30.492;28.963;28.447;27.728
4600401;Agullent;30.492;28.963;28.447;27.728
4600401001;Agullent;30.492;28.963;28.447;27.728
38002;Agulo;28.466;28.260;26.436;26.475
3800201;Agulo;28.466;28.260;26.436;26.475
3800201001;Agulo;28.466;28.260;26.436;26.475
1051;Agurain/Salvatierra; ; ; ; 
105101;Agurain/Salvatierra; ; ; ; 
105101001;Agurain/Salvatierra; ; ; ; 
105101002;Agurain/Salvatierra; ; ; ; 
105101003;Agurain/Salvatierra; ; ; ; 
10006;Ahigal;18.459;17.546;16.898;16.869
1000601;Ahigal;18.459;17.546;16.898;16.869
1000601001;Ahigal;18.459;17.546;16.898;16.869
37003;Ahigal;24.190;23.372;23.931;22.790
3700301;Ahigal;24.190;23.372;23.931;22.790
3700301001;Ahigal;24.190;23.372;23.931;22.790
37004;Ahigal;.;.;.;.
3700401;Ahigal;.;.;.;.
3700401001;Ahigal;.;.;.;.
6003;Ahillones;22.919;22.108;21.004;21.315
600301;Ahillones;22.919;22.108;21.004;21.315
600301001;Ahillones;22.919;22.108;21.004;21.315
20016;Aia;40.965;40.246;38.776; 
2001601;Aia;40.965;40.246;38.776; 
2001601001;Aia;38.667;37.851;36.384; 
2001601002;Aia;43.854;43.269;41.897; 
31009;Aibar/Oibar; ; ; ; 
3100901;Aibar/Oibar; ; ; ; 
3100901001;Aibar/Oibar; ; ; ; 
46042;Aielo;32.181;30.448;30.153;29.689
4604201;Aielo;32.181;30.448;30.153;29.689
4604201001;Aielo;31.220;29.357;29.144;27.755
4604201002;Aielo;32.984;31.375;31.015;31.350
46043;Aielo;44.970;41.145;37.865;38.019
4604301;Aielo;44.970;41.145;37.865;38.019
4604301001;Aielo;44.970;41.145;37.865;38.019
8014;Aiguafreda;43.160;41.412;40.005;39.089
801401;Aiguafreda;43.160;41.412;40.005;39.089
801401001;Aiguafreda;43.160;41.412;40.005;39.089
43001;Aiguamúrcia;33.274;30.936;29.985;31.079
4300101;Aiguamúrcia;33.274;30.936;29.985;31.079
4300101001;Aiguamúrcia;33.274;30.936;29.985;31.079
17002;Aiguaviva;67.265;66.465;62.092;60.766
1700201;Aiguaviva;67.265;66.465;62.092;60.766
1700201001;Aiguaviva;67.265;66.465;62.092;60.766
3004;Aigües;30.159;30.637;29.206;29.599
300401;Aigües;30.159;30.637;29.206;29.599
300401001;Aigües;30.159;30.637;29.206;29.599
12002;Aín;29.466;28.711;28.139;26.333
1200201;Aín;29.466;28.711;28.139;26.333
1200201001;Aín;29.466;28.711;28.139;26.333
22907;Aínsa-Sobrarbe;37.542;35.748;34.541;33.062
2290701;Aínsa-Sobrarbe;37.542;35.748;34.541;33.062
2290701001;Aínsa-Sobrarbe;37.542;35.748;34.541;33.062
50006;Ainzón;34.421;32.834;30.659;30.838
5000601;Ainzón;34.421;32.834;30.659;30.838
5000601001;Ainzón;34.421;32.834;30.659;30.838
22006;Aisa;44.204;40.398;39.159;37.325
2200601;Aisa;44.204;40.398;39.159;37.325
2200601001;Aisa;44.204;40.398;39.159;37.325
25038;Aitona;34.247;30.536;31.263;31.557
2503801;Aitona;34.247;30.536;31.263;31.557
2503801001;Aitona;34.756;31.847;31.427;31.071
2503801002;Aitona;33.790;29.373;31.123;31.974
20003;Aizarnazabal;42.802;42.547;41.521; 
2000301;Aizarnazabal;42.802;42.547;41.521; 
2000301001;Aizarnazabal;42.802;42.547;41.521; 
28002;Ajalvir;46.445;44.404;43.008;42.766
2800201;Ajalvir;46.445;44.404;43.008;42.766
2800201001;Ajalvir;49.396;47.635;46.415;46.302
2800201002;Ajalvir;44.103;41.886;40.375;40.073
26004;Ajamil;.;.;.;.
2600401;Ajamil;.;.;.;.
2600401001;Ajamil;.;.;.;.
48911;Ajangiz;59.406;58.303;56.214;54.354
4891101;Ajangiz;59.406;58.303;56.214;54.354
4891101001;Ajangiz;59.406;58.303;56.214;54.354
45001;Ajofrín;27.262;26.100;25.080;24.113
4500101;Ajofrín;27.262;26.100;25.080;24.113
4500101001;Ajofrín;27.380;26.292;25.572;24.438
4500101002;Ajofrín;27.081;25.805;24.332;23.611
44006;Alacón;25.467;22.901;21.604;21.116
4400601;Alacón;25.467;22.901;21.604;21.116
4400601001;Alacón;25.467;22.901;21.604;21.116
50007;Aladrén;.;.;.;.
5000701;Aladrén;.;.;.;.
5000701001;Aladrén;.;.;.;.
47004;Alaejos;27.428;25.804;24.500;22.269
4700401;Alaejos;27.428;25.804;24.500;22.269
4700401001;Alaejos;29.038;27.611;24.996;23.518
4700401002;Alaejos;25.719;23.996;24.003;20.978
50008;Alagón;36.740;35.550;33.848;33.250
5000801;Alagón;36.740;35.550;33.848;33.250
5000801001;Alagón;37.164;36.456;35.907;35.418
5000801002;Alagón;34.377;32.922;30.998;30.989
5000801003;Alagón;34.188;32.856;31.117;29.719
5000801004;Alagón;42.974;41.898;39.743;39.515
10903;Alagón;22.665;21.009;19.769;19.443
1090301;Alagón;22.665;21.009;19.769;19.443
1090301001;Alagón;22.665;21.009;19.769;19.443
7002;Alaior;37.309;35.588;32.807;31.710
700201;Alaior;39.483;37.577;34.005;33.010
700201001;Alaior;39.966;38.438;34.788;33.627
700201002;Alaior;38.996;36.708;33.216;32.403
700202;Alaior;35.817;34.210;31.977;30.803
700202001;Alaior;36.984;35.093;33.114;31.588
700202002;Alaior;38.086;36.591;35.355;33.732
700202003;Alaior;32.048;30.747;27.815;27.327
21001;Alájar;18.119;17.907;17.386;16.310
2100101;Alájar;18.119;17.907;17.386;16.310
2100101001;Alájar;18.119;17.907;17.386;16.310
38003;Alajeró;29.130;27.023;26.338;26.042
